emp_id ,full_name,gender,dob,join_date,Department,job_title,manager_id,location,Status,salary,email,phone,employment_type,last_working_day
66, Rachel Mason ,,1966-05-30,1971-01-07,Operations,Finance Analyst,29,Remote,Active,,robert03@gmail,+1-798-702-6038,Intern,
67, Charles Smith ,,1980-01-16,1985-09-10,sales,Sales Executive,24,Hyderabad,,32969.0,scottwalker@yahoo.com,+1-667-639-4719x79472,Full-time,2024-11-07
68, Erica Martin ,Female,1998-08-22,2015-08-15,Sales,Software Engineer,5,Bangalore,Terminated,,horr@murillo.info,+1-283-897-0700x363,Full-time,2016-02-13
69, Andre Keller ,Female,1975-10-28,1993-02-18,Sales,Finance Analyst,38, ,Active,84142.0,usteele@hotmail.com,505.815.8728,Contract,
70, Ashley Novak ,Male,1993-12-15,2011-05-18,sales,Sales Executive,18,Remote,Active,-1000.0,uarnold@yahoo.com,947-447-0233x36497,Contract,
71, Elizabeth Roberts ,Female,1986-03-25,2001-03-17,Sales,Sales Executive,15,Chennai,Resigned,72894.0,erichinton@davis.com,001-803-445-3111,,2011-05-10
72, Brandi Ritter ,Female,1970-03-23,1993-09-23,Sales,Operations Lead,42,Hyderabad,,134953.0,markjohnson@hotmail.com,478-584-0998,Intern,2020-10-28
73, Andrew Smith ,Male,1964-12-09,1985-01-02,Finance,,24,Bangalore,,147679.0,,548.164.0364,Contract,2019-11-08
74, Tara Knapp ,,1985-08-07,1996-02-12,Operations,,8,Remote,Terminated,147486.0,dgonzalez@gmail.com,001-273-330-9401,,2010-11-13
75, Tricia Jones ,Female,1974-02-23,2023-02-12,Finance,,40, ,,66659.0,obeasley@yahoo.com,3338086668,Contract,2025-03-30
76, Joseph Blackwell ,Male,1997-08-09,2021-12-18,Engineering,Finance Analyst,38,Hyderabad,Active,-1000.0,cassandra62@yahoo.com,(022)723-9737,Full-time,
77, Seth Horton ,Female,1982-02-21,2000-12-17,Finance,Sales Executive,18,Remote,Active,,erose@mason.com,(326)437-5890x836,Intern,
78, Shannon Henry ,Male,1964-09-18,1969-10-31,Sales,Sales Executive,23,Remote,Terminated,-1000.0,,613.182.7099x992,Intern,1975-03-10
79, Mrs. Jo Johnson MD ,Female,1998-03-10,2009-01-08,Engineering,Operations Lead,3,Bangalore,Active,-1000.0,cathygreen@hebert.org,+1-863-324-1516,Full-time,
80, Jacob Fisher ,Male,1992-02-19,2019-11-14,HR,HR Manager,16,Hyderabad,Resigned,-1000.0,xmartin@barton.info,3215910377,,2020-11-10
81, Hunter Morse ,,1978-07-17,2003-03-17,Finance,Operations Lead,24,Remote,,75033.0,vavery@olson.com,800.157.1022,Intern,2022-09-05
82, Jaime Thompson ,Female,1986-03-17,1987-01-28,  Engineering  ,Software Engineer,9, ,Active,,johnsmith@henson.net,7501230128,Contract,
83, Kenneth Davis ,,1990-06-12,1994-01-22,Sales,Software Engineer,22,Hyderabad,Terminated,,watkinsalicia@hotmail.com,828-387-7709,Contract,1997-06-11
84, Julie White ,Female,1992-11-24,2013-12-12,Engineering,Operations Lead,3,Hyderabad,Active,,briannarush@yahoo.com,(111)636-0584,Contract,
85, Jacob Jensen ,Male,1997-10-07,2010-03-19,Operations,,44,Bangalore,Active,-1000.0,andrewjohnson@hotmail.com,319.759.0257x51616,Contract,
86, Wayne Larson ,Male,2003-04-11,2018-06-30,HR,Operations Lead,31,Bangalore,Resigned,101929.0,,(461)454-5381x658,Contract,2019-02-16
87, Christine Baker ,Male,1998-03-11,2000-10-25,Operations,HR Manager,37, ,Terminated,,jenniferbradley@benton.net,001-342-391-6923x21585,Intern,2023-04-30
88, Denise Lamb ,Male,1985-11-13,1991-10-14,Operations,Software Engineer,4,Chennai,,,kimberly65@gilbert-moran.com,555.786.7358x059,Intern,2019-03-13
89, Tammy Anderson ,Male,1973-06-21,1986-09-15,HR,Sales Executive,34,Bangalore,Terminated,-1000.0,guerrerodaniel@gmail.com,501-314-1368,Full-time,1998-06-26
90, Tyrone Smith ,Male,2000-08-02,2017-12-01,Finance,Software Engineer,17,Chennai,Active,32758.0,bryantchristine@yahoo.com,7476895077,Intern,
91, Cheryl Rivas ,,2000-01-30,2020-05-05,sales,Finance Analyst,49, ,Active,126112.0,john78@gmail.com,988.243.2600x053,Intern,
92, Kevin Smith ,Female,1979-02-02,2003-04-07,Operations,,38,Remote,,,christopherspence@gmail.com,320.560.6456x4625,Full-time,2014-04-15
93, Mark Riley ,,1979-05-24,2011-11-10,Finance,Finance Analyst,44,Bangalore,,-1000.0,clayashley@flores-price.com,8018099111,,2019-11-08
94, Vickie Crawford ,Male,1968-05-06,1981-03-31,HR,,44,Hyderabad,Resigned,-1000.0,gmartin@yahoo.com,001-020-479-0529x92235,Contract,2012-12-24
95, Meredith Moore ,Male,1988-03-15,2013-04-29,Sales,Software Engineer,27,Remote,Terminated,-1000.0,christina43@gmail.com,001-686-060-4362x770,Intern,2016-07-22
96, Michael Horne ,Male,1983-10-17,2005-03-10,Sales,Sales Executive,34, ,Terminated,136943.0,johnmyers@hernandez-perez.com,+1-024-929-8478x1199,Contract,2023-05-19
97, Timothy Santiago DVM ,,2003-04-07,2015-05-27,Finance,Software Engineer,48, ,,48765.0,bridgetchristensen@evans-jacobs.com,652.651.7802x617,Intern,2022-01-16
98, Bridget Cooper ,Male,1989-07-31,1998-08-05,Finance,Finance Analyst,6,Chennai,,,braunamy@hotmail.com,646-626-6363,Contract,2022-11-18
99, Thomas Holt ,Male,1987-11-17,2006-07-28,Engineering,Sales Executive,24,Bangalore,,-1000.0,amandabrandt@gmail.com,657.062.3593x820,Full-time,2007-02-03
100, Alejandra Mendoza ,Female,1971-02-25,2016-02-07,  Engineering  ,,20,Hyderabad,,-1000.0,howellheather@hotmail.com,349-703-6982x6298,Contract,2022-10-23
100, Alejandra Mendoza ,Female,1971-02-25,2016-02-07,  Engineering  ,,20,Hyderabad,,-1000.0,howellheather@hotmail.com,349-703-6982x6298,Contract,2022-10-23
101, John Ray ,Male,2002-09-24,2017-12-15,Operations,Operations Lead,43,Chennai,Resigned,129622.0,ehorton@yahoo.com,385.978.9205,Contract,2021-07-04
102, Allison Barber ,,2000-12-11,2010-03-18,Finance,,21, ,,88850.0,dcollins@shields-velazquez.com,112-374-3206x28260,Intern,2016-05-21
103, Denise Bennett ,Female,1966-08-25,1979-10-02,HR,Software Engineer,16,Bangalore,Active,63817.0,mark08@gibbs.org,287-846-3851,Full-time,
104, Leslie Buchanan ,,1997-03-14,2005-02-04,  Engineering  ,,4, ,Terminated,-1000.0,kennethevans@myers.com,912-447-8069x91184,Contract,2007-05-10
105, Mark Hickman ,,1976-09-21,2013-06-28,Engineering,Finance Analyst,36,Remote,,,meyerkatherine@watts.com,(319)620-6284,Contract,2015-01-22
106, Whitney Martin ,Female,1978-02-24,1992-01-23,HR,,17,Hyderabad,Terminated,-1000.0,laneemily@pace.com,038-811-1205x35696,Contract,2007-02-05
107, Aaron Perez ,,1982-11-10,2023-03-25,Sales,Software Engineer,43,Remote,Resigned,145499.0,iwise@lyons.com,+1-039-349-0895,Intern,2023-08-26
108, Mary Park ,Female,1984-06-19,1995-05-20,Engineering,Finance Analyst,9,Bangalore,Terminated,,jjacobs@yahoo.com,(894)585-9215x26230,,2015-12-29
109, Roger Jones ,Female,1980-08-21,2006-07-20,Engineering,,43,Bangalore,Terminated,143619.0,morrisjohn@walters.biz,642.003.8593x911,,2007-06-14
110, Angela Avery ,,2000-11-21,2002-03-31,Sales,Finance Analyst,32,Hyderabad,Active,,icarter@yahoo.com,029-605-1994x099,Contract,
111, Jessica Saunders ,Male,1983-07-18,2019-05-21,Sales,Software Engineer,5, ,Terminated,,sthomas@yahoo.com,574.151.5642,Full-time,2022-07-11
112, Leslie Jones ,Male,1978-11-25,1987-04-17,sales,Finance Analyst,19,Chennai,Terminated,91530.0,robert48@gmail.com,(456)339-7327,Contract,2019-12-25
113, Sarah Williams ,Female,1979-08-04,2001-01-05,Sales,Software Engineer,1,Hyderabad,Active,101366.0,davischad@gmail.com,(675)106-6383,,
114, Elizabeth Franklin ,,1982-05-06,2019-09-06,Engineering,HR Manager,34,Bangalore,,-1000.0,plee@carter.net,+1-880-214-2508x40320,Intern,2021-10-22
115, Natalie Anderson ,Male,1973-02-02,2021-08-18,Engineering,HR Manager,14, ,Active,,teresa03@yahoo.com,(575)979-0264,Contract,
116, Steven Orozco ,,1972-12-18,1988-12-22,Sales,Sales Executive,38,Chennai,Resigned,,brittany50@hotmail.com,429-181-7495x9714,Contract,2016-04-16
117, Brittany Cherry ,,1980-09-23,1983-08-25,sales,Software Engineer,30,Hyderabad,Terminated,119639.0,fmcgrath@yahoo.com,042-163-4216x079,Intern,1986-05-31
118, Donna Smith ,,2000-01-12,2002-05-11,sales,Operations Lead,49,Chennai,,,robertmoody@lee.biz,(009)061-2704x554,,2006-08-28
119, Rebecca Russell ,,1995-02-28,2014-08-10,Finance,HR Manager,12,Hyderabad,Terminated,-1000.0,kathryn68@wheeler-ross.com,(245)543-8684x220,Intern,2019-01-30
120, Micheal Wood ,Female,1980-07-27,2003-12-17,Sales,HR Manager,9,Chennai,Resigned,-1000.0,marygonzalez@rodriguez-mcguire.com,044-026-2807x5191,,2013-09-16
121, Jessica Moody ,Male,1999-10-18,2019-02-04,Operations,Operations Lead,26,Remote,,,csullivan@brown.com,593-784-7955x64783,Intern,2024-09-18
122, Curtis Buck ,Female,1988-10-09,1994-01-04,Operations,Finance Analyst,31, ,Terminated,-1000.0,matthew26@simon.biz,+1-387-072-6725x3796,Contract,2005-04-23
123, Daniel Thornton ,Female,1971-07-25,1989-05-01,Sales,Finance Analyst,34,Remote,,103443.0,levysamantha@silva-shepherd.org,678.835.4241x18375,Contract,2008-01-11
124, Tammy Browning ,Female,1987-04-02,2015-04-12,Operations,,41,Remote,Terminated,-1000.0,lpeterson@scott.com,135-306-5613x9402,,2018-12-20
125, Lance Walker ,Male,1967-09-18,1984-12-06,Finance,Operations Lead,14,Hyderabad,Terminated,-1000.0,mccarthylogan@casey-blevins.info,+1-225-405-4033x45992,Contract,1995-08-27
126, Brooke Velazquez ,,1997-08-04,2006-02-26,Sales,Software Engineer,16,Remote,Terminated,-1000.0,jason82@sandoval.com,001-763-349-5911x9324,,2024-09-08
127, Caitlin Freeman ,Male,1986-03-18,1992-01-01,Finance,Software Engineer,4,Hyderabad,,,brownthomas@andrade-hawkins.com,265.725.8716x5373,Full-time,1997-04-21
128, Terri Hoffman ,,1978-05-31,1980-10-03,Operations,HR Manager,17,Remote,Resigned,-1000.0,carla80@lopez-martin.org,607-348-9518,Contract,1993-10-13
129, Bruce Fox ,Female,1988-06-06,2000-06-24,Operations,Operations Lead,12,Chennai,,-1000.0,uflores@hotmail.com,+1-895-766-6573x21927,Contract,2008-05-23
130, Vickie Reyes ,Female,1973-02-25,2025-01-17,HR,HR Manager,47,Hyderabad,Active,-1000.0,nsimpson@yahoo.com,(800)486-1626x86861,,
131, Dana Williams ,,1976-10-04,1983-09-04,  Engineering  ,HR Manager,48,Bangalore,Terminated,,rbrandt@shelton.com,6826740068,Intern,2021-03-16
132, Dalton Wilson ,,1998-04-20,2010-05-16,Finance,HR Manager,27,Remote,,,jennifer02@johnson-harris.info,(461)244-7685x6049,Contract,2016-02-07
133, Jeffrey Lester ,Male,1984-01-10,1997-07-01,  Engineering  ,Software Engineer,12,Bangalore,,138286.0,williamsaustin@schaefer.com,(123)138-8467,Full-time,2008-08-12
134, Jeremy Costa ,Male,1977-07-17,2024-11-12,Operations,Software Engineer,25,Chennai,,,nataliecain@gmail.com,001-327-994-8903,Full-time,2024-12-22
135, Phillip Chan ,Female,2001-10-13,2012-07-16,Operations,Operations Lead,49,Bangalore,,,amoore@hotmail.com,615-411-3569,,2018-07-08
136, George Hill ,Male,2002-04-04,2022-05-30,Operations,Sales Executive,32,Chennai,,,,001-233-538-8101x55677,Contract,2024-08-16
137, Aaron Parker ,,2000-09-06,2020-06-03,Operations,Sales Executive,33,Chennai,Terminated,-1000.0,gstephens@hotmail.com,001-423-452-1289x93073,Intern,2023-05-06
138, Ronald Adams ,,1974-12-01,1991-08-03,sales,Sales Executive,43,Bangalore,Active,-1000.0,latoyadillon@yahoo.com,491.529.4255,,
139, Donald Guzman ,Female,1985-03-27,1999-03-28,HR,Finance Analyst,47, ,Terminated,,duranbenjamin@gmail.com,882.222.6482x1723,Intern,2003-11-30
140, Norma Wyatt ,Male,1987-02-04,2024-04-18,Engineering,,38,Hyderabad,Active,,,(670)239-6919,Contract,
141, Nicholas Gomez ,,1995-11-19,2009-01-21,HR,,42, ,Active,-1000.0,mark87@lutz.biz,615.878.9932x55363,Intern,
142, Susan Morris ,Male,1988-12-17,2016-09-09,sales,Software Engineer,40, ,Resigned,58041.0,myersdavid@yahoo.com,+1-333-541-2401,,2022-06-13
143, Lauren Melendez ,Male,1975-07-08,1985-03-02,sales,Finance Analyst,17, ,Resigned,67099.0,ana95@hotmail.com,(878)215-9458x866,Full-time,2011-03-18
144, Jennifer Young ,,1980-05-26,2008-12-22,HR,Finance Analyst,11, ,,,rebeccaanderson@gmail.com,519-088-8471x35608,Contract,2022-06-07
145, Megan Blake ,,1975-02-01,2021-01-05,Operations,Sales Executive,4, ,Terminated,-1000.0,timothy92@yahoo.com,126-990-2887x141,Full-time,2022-01-15
146, Chelsea Smith ,Female,1992-06-07,2015-07-16,Sales,Operations Lead,22,Chennai,Terminated,-1000.0,karenwilson@yahoo.com,170.411.2505,Contract,2021-05-08
147, Shawn Jordan ,Female,1994-05-05,1998-06-06,Finance,Sales Executive,15,Bangalore,Active,99470.0,fsteele@smith.com,7731727804,Full-time,
148, Roger Rodgers ,Male,1970-07-12,1998-09-14,  Engineering  ,,35,Hyderabad,,78917.0,lhardin@lloyd.net,638-633-9694,Intern,2023-03-08
149, Andrew Reed ,Male,1986-03-17,2013-03-03,Finance,Finance Analyst,26,Chennai,Active,,lisahunter@marquez.info,(590)569-9421x893,Intern,
150, Thomas Fowler ,,2001-02-23,2003-07-28,Engineering,Sales Executive,14,Chennai,Active,37614.0,pcastaneda@hotmail.com,(455)672-5887,Contract,
151, Kathleen Mccoy ,Male,2001-03-11,2021-07-24,Operations,Operations Lead,26,Chennai,Active,,kgreen@yahoo.com,0619728938,Full-time,
152, Shaun Anderson ,,1999-12-05,2015-03-20,HR,HR Manager,46,Remote,Terminated,46296.0,smithchris@jackson.com,(389)782-1350,Full-time,2018-08-31
153, William James ,Male,1995-07-25,2009-03-18,Operations,Finance Analyst,8,Chennai,Resigned,44576.0,bruce78@jefferson-williams.com,506-560-3257x13377,,2010-04-16
154, Nicholas Waters ,Male,1994-08-24,1998-12-04,HR,Sales Executive,40,Chennai,,-1000.0,smithmisty@christensen.net,820.070.7158x562,,2016-01-17
155, Robert Blankenship ,Male,1987-11-19,2018-03-02,Operations,Operations Lead,8,Bangalore,,,josephwashington@hotmail.com,415-330-8299x7489,,2024-07-25
156, Shawna Gallagher ,Male,1972-01-31,2007-05-11,Operations,Finance Analyst,26,Remote,Resigned,,weaverrachel@yahoo.com,(535)261-1022x8988,Full-time,2023-08-03
157, Cheyenne Joyce ,Male,1992-09-14,2012-11-10,sales,Software Engineer,45,Hyderabad,,92154.0,fbartlett@hotmail.com,+1-285-586-3379x859,Full-time,2013-06-28
158, Kayla Mcclain ,Female,1971-02-01,1988-11-17,Operations,,12,Remote,Terminated,,gsaunders@gmail.com,711.293.5399,Full-time,2021-08-03
159, Sheri Taylor ,,1995-05-25,2001-09-03,Operations,Software Engineer,25,Bangalore,Resigned,89153.0,cheyenne45@gmail.com,(639)730-0028x115,Contract,2017-05-06
160, Cindy Barnes ,Male,2001-08-23,2013-03-21,HR,Sales Executive,25,Chennai,Active,-1000.0,michellelamb@yahoo.com,880.027.7035,,
161, Amy Maldonado ,Male,1964-07-15,1983-11-02,Finance,Software Engineer,28,Hyderabad,Terminated,-1000.0,pcherry@lopez.com,+1-315-962-2910x269,,2025-03-02
162, Courtney Jackson ,,1972-10-21,2011-11-05,Engineering,Sales Executive,21,Bangalore,Active,,ericnash@cook-gonzalez.com,+1-699-127-7864x153,Intern,
163, Jennifer Hanson ,Female,1968-12-23,1995-05-31,Operations,,1,Bangalore,Terminated,,taylor59@yahoo.com,001-598-982-8603x060,Contract,1998-01-16
164, Mark Medina ,Male,1987-06-28,2013-05-02,Sales,Operations Lead,21,Remote,,-1000.0,crystal55@hotmail.com,(920)126-7315,Intern,2019-01-16
165, David Ball ,Female,1985-10-15,2022-05-26,Operations,Sales Executive,36,Remote,Resigned,-1000.0,patricia94@gmail.com,001-029-621-9748x47709,Intern,2023-08-19
166, Matthew Lee ,Female,1969-04-12,1972-05-23,Sales,HR Manager,45,Bangalore,Resigned,,katherine52@gmail.com,(588)300-9505x820,Contract,2009-06-10
167, John Cox ,Female,1970-09-19,2024-03-07,Operations,Sales Executive,24, ,Active,,perezshannon@smith.com,+1-337-575-5005,,
