emp_id,full_name,gender,dob,join_date,department,job_title,manager_id,location,status,employment_type,salary,email,phone,last_working_day
28,Kristen Cox,Female,1998-09-24,2007-08-25,Engineering,Finance Analyst,34,Unknown,Abscond,Intern,86981.0,anthony86@yahoo.com,024-733-1541,2010-01-18
29,Grant Torres,Male,1975-09-18,2017-01-03,Sales,Sales Executive,38,Bangalore,Terminated,Intern,95811.82,xhoward@yahoo.com,620-514-3850,2022-01-10
30,Leslie Sanchez,Male,2000-11-25,2020-02-04,Sales,Sales Executive,42,Bangalore,Active,Full-time,95811.82,jamesjacobs@arnold.org,693-276-1969,
31,Terry Yoder,Unknown,1982-09-13,2017-01-02,Human Resource,Operations Lead,46,Remote,Resigned,Contract,92432.0,zhill@gmail.com,442-031-6348,2023-01-21
32,Johnny Richardson,Male,1972-11-04,1985-08-23,Sales,Hr Manager,23,Chennai,Terminated,Full-time,96422.61,morrisjennifer@yahoo.com,309-692-8752,2009-01-09
33,Michael Martinez,Unknown,1977-05-15,2024-08-09,Finance,Sales Executive,47,Unknown,Resigned,Full-time,57370.0,fcollins@sullivan.com,758-119-0593,2025-01-07
34,Christopher Bryant,Male,1970-03-29,1985-09-20,Operations,Unknown,11,Chennai,Active,Unknown,80820.75,dudleyphillip@hotmail.com,190-552-4317,
35,Robert Morales,Unknown,1964-09-06,1966-07-01,Human Resource,Sales Executive,24,Chennai,Abscond,Full-time,101053.0,egarcia@floyd.net,251-674-6607,2005-01-27
36,Phillip Rodgers,Female,1975-02-14,1997-11-29,Sales,Hr Manager,31,Chennai,Active,Contract,96422.61,jennifergonzales@gmail.com,049-575-4156,
37,Michael Cortez,Unknown,1984-09-16,1991-08-22,Sales,Operations Lead,8,Unknown,Abscond,Contract,81690.26,elizabeth69@yahoo.com,835-224-7464,2018-01-14
38,Brett Huerta,Unknown,1974-08-08,2014-02-16,Operations,Unknown,9,Hyderabad,Active,Full-time,51955.0,josephhansen@perez.com,881-953-3255,
39,Michelle Clayton,Male,1996-01-07,2015-01-21,Human Resource,Sales Executive,45,Chennai,Resigned,Contract,82996.0,megan39@hotmail.com,321-306-9036,2019-01-18
40,Melissa Garcia,Male,1964-10-26,1983-08-20,Engineering,Finance Analyst,9,Unknown,Abscond,Unknown,42519.0,renee34@lester-turner.net,169-860-1743,2015-01-19
41,Anne Hodge,Male,1991-11-12,2014-05-05,Operations,Sales Executive,1,Hyderabad,Abscond,Contract,92931.0,simmonschristina@yahoo.com,163-065-8501,2018-01-19
42,Jose Morgan,Unknown,1986-04-02,1996-10-20,Sales,Finance Analyst,3,Unknown,Abscond,Full-time,83894.94,Unknown,096-790-3246,2011-01-16
43,Angela Gilbert,Female,1973-09-14,1975-03-29,Sales,Unknown,45,Chennai,Active,Full-time,67921.0,beckjeffery@hotmail.com,172-050-9459,
44,Mark Johns,Unknown,1978-08-18,2009-04-15,Sales,Operations Lead,12,Bangalore,Resigned,Unknown,38194.0,jeffrey15@gmail.com,226-410-0104,2012-01-11
45,Jennifer Sosa Md,Unknown,1996-07-12,2021-11-10,Sales,Hr Manager,48,Chennai,Terminated,Unknown,96422.61,melissa35@hotmail.com,960-230-5811,2024-01-12
46,Zachary Krause Dds,Male,1993-10-24,2006-10-19,Engineering,Hr Manager,18,Hyderabad,Abscond,Unknown,39851.0,christopherowens@yahoo.com,786-359-2313,2022-01-16
47,Zachary Williams,Female,1970-05-15,1993-02-24,Sales,Finance Analyst,30,Hyderabad,Terminated,Unknown,83894.94,jorge98@myers.com,977-422-6386,2019-01-22
48,Robert Hall,Female,1987-04-25,2018-11-13,Engineering,Operations Lead,19,Chennai,Abscond,Unknown,69455.75,joycekerry@hotmail.com,591-368-7280,2019-01-05
49,Samuel Morgan,Female,1985-04-22,1985-12-26,Finance,Finance Analyst,16,Remote,Resigned,Intern,81128.9,steven22@taylor.com,798-546-5039,1994-01-12
50,Donald Martinez,Unknown,1968-06-12,1981-08-16,Human Resource,Finance Analyst,9,Chennai,Terminated,Intern,93426.0,kdavis@yahoo.com,108-769-6948,2005-01-19
51,Angela King,Unknown,1993-04-13,2023-10-11,Human Resource,Finance Analyst,7,Remote,Terminated,Unknown,93426.0,austinmccoy@yahoo.com,119-583-1040,2024-01-17
52,Jennifer Harmon,Unknown,1993-12-05,2000-07-30,Operations,Unknown,11,Hyderabad,Resigned,Full-time,80820.75,lopezjessica@mooney.com,568-722-0378,2002-01-04
53,Alex Hahn,Unknown,1980-02-06,2023-12-23,Sales,Hr Manager,43,Chennai,Abscond,Contract,55120.0,jasmine56@reynolds.com,041-224-8287,2024-01-22
54,Stephanie Escobar,Unknown,1987-12-04,2002-01-16,Engineering,Finance Analyst,32,Chennai,Resigned,Unknown,99062.91,gonzalezsabrina@bailey-king.com,254-605-0451,2011-01-25
55,Victoria Bentley,Female,1987-11-17,1991-07-13,Sales,Finance Analyst,29,Unknown,Terminated,Intern,83894.94,burgessgerald@yahoo.com,823-840-1081,2004-01-19
56,Beth Blair,Male,1993-03-07,2008-07-12,Engineering,Software Engineer,25,Unknown,Resigned,Contract,86807.0,mjackson@hotmail.com,759-976-1249,2024-01-27
57,Latoya Hardy,Female,1982-03-20,1993-10-16,Operations,Unknown,4,Remote,Active,Unknown,66201.0,snyderkatelyn@gmail.com,291-598-2540,
58,Jessica Smith,Male,1973-04-16,1991-01-01,Sales,Software Engineer,7,Remote,Resigned,Contract,92911.53,joseph63@gmail.com,502-768-5796,2002-01-06
59,Steven Rodriguez,Female,1987-11-16,2003-05-26,Sales,Unknown,26,Bangalore,Terminated,Unknown,112521.12,jasmine95@beltran.biz,744-843-9948,2015-01-04
60,Alexandra Love,Male,1978-07-13,1979-02-13,Sales,Hr Manager,8,Bangalore,Active,Contract,96422.61,phillipsvictoria@mahoney.org,930-989-6797,
61,Jennifer Shields,Female,1992-01-05,2019-06-21,Engineering,Sales Executive,35,Unknown,Resigned,Intern,89530.07,ramirezjessica@mcgee.com,993-035-8027,2019-01-04
62,Angela Floyd,Unknown,1973-01-13,2013-02-28,Finance,Sales Executive,50,Remote,Resigned,Contract,95531.45,reedtracy@henderson.info,431-846-6180,2021-01-29
63,Cynthia Anderson,Unknown,1973-11-09,2004-12-11,Operations,Hr Manager,15,Hyderabad,Active,Contract,75959.29,Unknown,880-045-1480,
64,Dr. Andrew Burke Phd,Female,1982-01-24,2004-11-21,Finance,Software Engineer,2,Chennai,Resigned,Contract,72015.4,douglas33@berger-barnett.com,148-985-4722,2015-01-20
65,Mrs. Brooke Burgess,Female,1995-11-25,2021-05-15,Engineering,Sales Executive,5,Hyderabad,Active,Unknown,89530.07,rgray@yahoo.com,387-405-4773,
66,Rachel Mason,Unknown,1966-05-30,1971-01-07,Operations,Finance Analyst,29,Remote,Active,Intern,89314.33,Invalid,798-702-6038,
67,Charles Smith,Unknown,1980-01-16,1985-09-10,Sales,Sales Executive,24,Hyderabad,Abscond,Full-time,32969.0,scottwalker@yahoo.com,667-639-4719,2024-01-07
68,Erica Martin,Female,1998-08-22,2015-08-15,Sales,Software Engineer,5,Bangalore,Terminated,Full-time,92911.53,horr@murillo.info,283-897-0700,2016-01-13
69,Andre Keller,Female,1975-10-28,1993-02-18,Sales,Finance Analyst,38,Unknown,Active,Contract,84142.0,usteele@hotmail.com,505-815-8728,
70,Ashley Novak,Male,1993-12-15,2011-05-18,Sales,Sales Executive,18,Remote,Active,Contract,95811.82,uarnold@yahoo.com,947-447-0233,
71,Elizabeth Roberts,Female,1986-03-25,2001-03-17,Sales,Sales Executive,15,Chennai,Resigned,Unknown,72894.0,erichinton@davis.com,803-445-3111,2011-01-10
72,Brandi Ritter,Female,1970-03-23,1993-09-23,Sales,Operations Lead,42,Hyderabad,Abscond,Intern,134953.0,markjohnson@hotmail.com,478-584-0998,2020-01-28
73,Andrew Smith,Male,1964-12-09,1985-01-02,Finance,Unknown,24,Bangalore,Abscond,Contract,147679.0,Unknown,548-164-0364,2019-01-08
74,Tara Knapp,Unknown,1985-08-07,1996-02-12,Operations,Unknown,8,Remote,Terminated,Unknown,147486.0,dgonzalez@gmail.com,273-330-9401,2010-01-13
75,Tricia Jones,Female,1974-02-23,2023-02-12,Finance,Unknown,40,Unknown,Abscond,Contract,66659.0,obeasley@yahoo.com,333-808-6668,2025-01-30
76,Joseph Blackwell,Male,1997-08-09,2021-12-18,Engineering,Finance Analyst,38,Hyderabad,Active,Full-time,99062.91,cassandra62@yahoo.com,022-723-9737,
77,Seth Horton,Female,1982-02-21,2000-12-17,Finance,Sales Executive,18,Remote,Active,Intern,95531.45,erose@mason.com,326-437-5890,
78,Shannon Henry,Male,1964-09-18,1969-10-31,Sales,Sales Executive,23,Remote,Terminated,Intern,95811.82,Unknown,613-182-7099,1975-01-10
79,Mrs. Jo Johnson Md,Female,1998-03-10,2009-01-08,Engineering,Operations Lead,3,Bangalore,Active,Full-time,69455.75,cathygreen@hebert.org,863-324-1516,
80,Jacob Fisher,Male,1992-02-19,2019-11-14,Human Resource,Hr Manager,16,Hyderabad,Resigned,Unknown,79067.0,xmartin@barton.info,321-591-0377,2020-01-10
81,Hunter Morse,Unknown,1978-07-17,2003-03-17,Finance,Operations Lead,24,Remote,Abscond,Intern,75033.0,vavery@olson.com,800-157-1022,2022-01-05
82,Jaime Thompson,Female,1986-03-17,1987-01-28,Engineering,Software Engineer,9,Unknown,Active,Contract,97408.24,johnsmith@henson.net,750-123-0128,
83,Kenneth Davis,Unknown,1990-06-12,1994-01-22,Sales,Software Engineer,22,Hyderabad,Terminated,Contract,92911.53,watkinsalicia@hotmail.com,828-387-7709,1997-01-11
84,Julie White,Female,1992-11-24,2013-12-12,Engineering,Operations Lead,3,Hyderabad,Active,Contract,69455.75,briannarush@yahoo.com,111-636-0584,
85,Jacob Jensen,Male,1997-10-07,2010-03-19,Operations,Unknown,44,Bangalore,Active,Contract,80820.75,andrewjohnson@hotmail.com,319-759-0257,
86,Wayne Larson,Male,2003-04-11,2018-06-30,Human Resource,Operations Lead,31,Bangalore,Resigned,Contract,101929.0,Unknown,461-454-5381,2019-01-16
87,Christine Baker,Male,1998-03-11,2000-10-25,Operations,Hr Manager,37,Unknown,Terminated,Intern,75959.29,jenniferbradley@benton.net,342-391-6923,2023-01-30
88,Denise Lamb,Male,1985-11-13,1991-10-14,Operations,Software Engineer,4,Chennai,Abscond,Intern,78517.13,kimberly65@gilbert-moran.com,555-786-7358,2019-01-13
89,Tammy Anderson,Male,1973-06-21,1986-09-15,Human Resource,Sales Executive,34,Bangalore,Terminated,Full-time,92810.2,guerrerodaniel@gmail.com,501-314-1368,1998-01-26
90,Tyrone Smith,Male,2000-08-02,2017-12-01,Finance,Software Engineer,17,Chennai,Active,Intern,32758.0,bryantchristine@yahoo.com,747-689-5077,
91,Cheryl Rivas,Unknown,2000-01-30,2020-05-05,Sales,Finance Analyst,49,Unknown,Active,Intern,126112.0,john78@gmail.com,988-243-2600,
92,Kevin Smith,Female,1979-02-02,2003-04-07,Operations,Unknown,38,Remote,Abscond,Full-time,80820.75,christopherspence@gmail.com,320-560-6456,2014-01-15
93,Mark Riley,Unknown,1979-05-24,2011-11-10,Finance,Finance Analyst,44,Bangalore,Abscond,Unknown,81128.9,clayashley@flores-price.com,801-809-9111,2019-01-08
94,Vickie Crawford,Male,1968-05-06,1981-03-31,Human Resource,Unknown,44,Hyderabad,Resigned,Contract,90928.6,gmartin@yahoo.com,020-479-0529,2012-01-24
95,Meredith Moore,Male,1988-03-15,2013-04-29,Sales,Software Engineer,27,Remote,Terminated,Intern,92911.53,christina43@gmail.com,686-060-4362,2016-01-22
96,Michael Horne,Male,1983-10-17,2005-03-10,Sales,Sales Executive,34,Unknown,Terminated,Contract,136943.0,johnmyers@hernandez-perez.com,024-929-8478,2023-01-19
97,Timothy Santiago Dvm,Unknown,2003-04-07,2015-05-27,Finance,Software Engineer,48,Unknown,Abscond,Intern,48765.0,bridgetchristensen@evans-jacobs.com,652-651-7802,2022-01-16
98,Bridget Cooper,Male,1989-07-31,1998-08-05,Finance,Finance Analyst,6,Chennai,Abscond,Contract,81128.9,braunamy@hotmail.com,646-626-6363,2022-01-18
99,Thomas Holt,Male,1987-11-17,2006-07-28,Engineering,Sales Executive,24,Bangalore,Abscond,Full-time,89530.07,amandabrandt@gmail.com,657-062-3593,2007-01-03
100,Alejandra Mendoza,Female,1971-02-25,2016-02-07,Engineering,Unknown,20,Hyderabad,Abscond,Contract,93008.89,howellheather@hotmail.com,349-703-6982,2022-01-23
101,John Ray,Male,2002-09-24,2017-12-15,Operations,Operations Lead,43,Chennai,Resigned,Contract,129622.0,ehorton@yahoo.com,385-978-9205,2021-01-04
102,Allison Barber,Unknown,2000-12-11,2010-03-18,Finance,Unknown,21,Unknown,Abscond,Intern,88850.0,dcollins@shields-velazquez.com,112-374-3206,2016-01-21
103,Denise Bennett,Female,1966-08-25,1979-10-02,Human Resource,Software Engineer,16,Bangalore,Active,Full-time,63817.0,mark08@gibbs.org,287-846-3851,
104,Leslie Buchanan,Unknown,1997-03-14,2005-02-04,Engineering,Unknown,4,Unknown,Terminated,Contract,93008.89,kennethevans@myers.com,912-447-8069,2007-01-10
105,Mark Hickman,Unknown,1976-09-21,2013-06-28,Engineering,Finance Analyst,36,Remote,Abscond,Contract,99062.91,meyerkatherine@watts.com,319-620-6284,2015-01-22
106,Whitney Martin,Female,1978-02-24,1992-01-23,Human Resource,Unknown,17,Hyderabad,Terminated,Contract,90928.6,laneemily@pace.com,038-811-1205,2007-01-05
107,Aaron Perez,Unknown,1982-11-10,2023-03-25,Sales,Software Engineer,43,Remote,Resigned,Intern,145499.0,iwise@lyons.com,039-349-0895,2023-01-26
108,Mary Park,Female,1984-06-19,1995-05-20,Engineering,Finance Analyst,9,Bangalore,Terminated,Unknown,99062.91,jjacobs@yahoo.com,894-585-9215,2015-01-29
109,Roger Jones,Female,1980-08-21,2006-07-20,Engineering,Unknown,43,Bangalore,Terminated,Unknown,143619.0,morrisjohn@walters.biz,642-003-8593,2007-01-14
110,Angela Avery,Unknown,2000-11-21,2002-03-31,Sales,Finance Analyst,32,Hyderabad,Active,Contract,83894.94,icarter@yahoo.com,029-605-1994,
111,Jessica Saunders,Male,1983-07-18,2019-05-21,Sales,Software Engineer,5,Unknown,Terminated,Full-time,92911.53,sthomas@yahoo.com,574-151-5642,2022-01-11
112,Leslie Jones,Male,1978-11-25,1987-04-17,Sales,Finance Analyst,19,Chennai,Terminated,Contract,91530.0,robert48@gmail.com,456-339-7327,2019-01-25
113,Sarah Williams,Female,1979-08-04,2001-01-05,Sales,Software Engineer,1,Hyderabad,Active,Unknown,101366.0,davischad@gmail.com,675-106-6383,
114,Elizabeth Franklin,Unknown,1982-05-06,2019-09-06,Engineering,Hr Manager,34,Bangalore,Abscond,Intern,79782.4,plee@carter.net,880-214-2508,2021-01-22
115,Natalie Anderson,Male,1973-02-02,2021-08-18,Engineering,Hr Manager,14,Unknown,Active,Contract,79782.4,teresa03@yahoo.com,575-979-0264,
116,Steven Orozco,Unknown,1972-12-18,1988-12-22,Sales,Sales Executive,38,Chennai,Resigned,Contract,95811.82,brittany50@hotmail.com,429-181-7495,2016-01-16
117,Brittany Cherry,Unknown,1980-09-23,1983-08-25,Sales,Software Engineer,30,Hyderabad,Terminated,Intern,119639.0,fmcgrath@yahoo.com,042-163-4216,1986-01-31
118,Donna Smith,Unknown,2000-01-12,2002-05-11,Sales,Operations Lead,49,Chennai,Abscond,Unknown,81690.26,robertmoody@lee.biz,009-061-2704,2006-01-28
119,Rebecca Russell,Unknown,1995-02-28,2014-08-10,Finance,Hr Manager,12,Hyderabad,Terminated,Intern,92560.75,kathryn68@wheeler-ross.com,245-543-8684,2019-01-30
120,Micheal Wood,Female,1980-07-27,2003-12-17,Sales,Hr Manager,9,Chennai,Resigned,Unknown,96422.61,marygonzalez@rodriguez-mcguire.com,044-026-2807,2013-01-16
121,Jessica Moody,Male,1999-10-18,2019-02-04,Operations,Operations Lead,26,Remote,Abscond,Intern,97067.7,csullivan@brown.com,593-784-7955,2024-01-18
122,Curtis Buck,Female,1988-10-09,1994-01-04,Operations,Finance Analyst,31,Unknown,Terminated,Contract,89314.33,matthew26@simon.biz,387-072-6725,2005-01-23
123,Daniel Thornton,Female,1971-07-25,1989-05-01,Sales,Finance Analyst,34,Remote,Abscond,Contract,103443.0,levysamantha@silva-shepherd.org,678-835-4241,2008-01-11
124,Tammy Browning,Female,1987-04-02,2015-04-12,Operations,Unknown,41,Remote,Terminated,Unknown,80820.75,lpeterson@scott.com,135-306-5613,2018-01-20
125,Lance Walker,Male,1967-09-18,1984-12-06,Finance,Operations Lead,14,Hyderabad,Terminated,Contract,77818.6,mccarthylogan@casey-blevins.info,225-405-4033,1995-01-27
126,Brooke Velazquez,Unknown,1997-08-04,2006-02-26,Sales,Software Engineer,16,Remote,Terminated,Unknown,92911.53,jason82@sandoval.com,763-349-5911,2024-01-08
127,Caitlin Freeman,Male,1986-03-18,1992-01-01,Finance,Software Engineer,4,Hyderabad,Abscond,Full-time,72015.4,brownthomas@andrade-hawkins.com,265-725-8716,1997-01-21
128,Terri Hoffman,Unknown,1978-05-31,1980-10-03,Operations,Hr Manager,17,Remote,Resigned,Contract,75959.29,carla80@lopez-martin.org,607-348-9518,1993-01-13
129,Bruce Fox,Female,1988-06-06,2000-06-24,Operations,Operations Lead,12,Chennai,Abscond,Contract,97067.7,uflores@hotmail.com,895-766-6573,2008-01-23
130,Vickie Reyes,Female,1973-02-25,2025-01-17,Human Resource,Hr Manager,47,Hyderabad,Active,Unknown,79067.0,nsimpson@yahoo.com,800-486-1626,
131,Dana Williams,Unknown,1976-10-04,1983-09-04,Engineering,Hr Manager,48,Bangalore,Terminated,Intern,79782.4,rbrandt@shelton.com,682-674-0068,2021-01-16
132,Dalton Wilson,Unknown,1998-04-20,2010-05-16,Finance,Hr Manager,27,Remote,Abscond,Contract,92560.75,jennifer02@johnson-harris.info,461-244-7685,2016-01-07
133,Jeffrey Lester,Male,1984-01-10,1997-07-01,Engineering,Software Engineer,12,Bangalore,Abscond,Full-time,138286.0,williamsaustin@schaefer.com,123-138-8467,2008-01-12
134,Jeremy Costa,Male,1977-07-17,2024-11-12,Operations,Software Engineer,25,Chennai,Abscond,Full-time,78517.13,nataliecain@gmail.com,327-994-8903,2024-01-22
135,Phillip Chan,Female,2001-10-13,2012-07-16,Operations,Operations Lead,49,Bangalore,Abscond,Unknown,97067.7,amoore@hotmail.com,615-411-3569,2018-01-08
136,George Hill,Male,2002-04-04,2022-05-30,Operations,Sales Executive,32,Chennai,Abscond,Contract,81318.86,Unknown,233-538-8101,2024-01-16
137,Aaron Parker,Unknown,2000-09-06,2020-06-03,Operations,Sales Executive,33,Chennai,Terminated,Intern,81318.86,gstephens@hotmail.com,423-452-1289,2023-01-06
138,Ronald Adams,Unknown,1974-12-01,1991-08-03,Sales,Sales Executive,43,Bangalore,Active,Unknown,95811.82,latoyadillon@yahoo.com,491-529-4255,
139,Donald Guzman,Female,1985-03-27,1999-03-28,Human Resource,Finance Analyst,47,Unknown,Terminated,Intern,93426.0,duranbenjamin@gmail.com,882-222-6482,2003-01-30
140,Norma Wyatt,Male,1987-02-04,2024-04-18,Engineering,Unknown,38,Hyderabad,Active,Contract,93008.89,Unknown,670-239-6919,
141,Nicholas Gomez,Unknown,1995-11-19,2009-01-21,Human Resource,Unknown,42,Unknown,Active,Intern,90928.6,mark87@lutz.biz,615-878-9932,
142,Susan Morris,Male,1988-12-17,2016-09-09,Sales,Software Engineer,40,Unknown,Resigned,Unknown,58041.0,myersdavid@yahoo.com,333-541-2401,2022-01-13
143,Lauren Melendez,Male,1975-07-08,1985-03-02,Sales,Finance Analyst,17,Unknown,Resigned,Full-time,67099.0,ana95@hotmail.com,878-215-9458,2011-01-18
144,Jennifer Young,Unknown,1980-05-26,2008-12-22,Human Resource,Finance Analyst,11,Unknown,Abscond,Contract,93426.0,rebeccaanderson@gmail.com,519-088-8471,2022-01-07
145,Megan Blake,Unknown,1975-02-01,2021-01-05,Operations,Sales Executive,4,Unknown,Terminated,Full-time,81318.86,timothy92@yahoo.com,126-990-2887,2022-01-15
146,Chelsea Smith,Female,1992-06-07,2015-07-16,Sales,Operations Lead,22,Chennai,Terminated,Contract,81690.26,karenwilson@yahoo.com,170-411-2505,2021-01-08
147,Shawn Jordan,Female,1994-05-05,1998-06-06,Finance,Sales Executive,15,Bangalore,Active,Full-time,99470.0,fsteele@smith.com,773-172-7804,
148,Roger Rodgers,Male,1970-07-12,1998-09-14,Engineering,Unknown,35,Hyderabad,Abscond,Intern,78917.0,lhardin@lloyd.net,638-633-9694,2023-01-08
149,Andrew Reed,Male,1986-03-17,2013-03-03,Finance,Finance Analyst,26,Chennai,Active,Intern,81128.9,lisahunter@marquez.info,590-569-9421,
150,Thomas Fowler,Unknown,2001-02-23,2003-07-28,Engineering,Sales Executive,14,Chennai,Active,Contract,37614.0,pcastaneda@hotmail.com,455-672-5887,
151,Kathleen Mccoy,Male,2001-03-11,2021-07-24,Operations,Operations Lead,26,Chennai,Active,Full-time,97067.7,kgreen@yahoo.com,061-972-8938,
152,Shaun Anderson,Unknown,1999-12-05,2015-03-20,Human Resource,Hr Manager,46,Remote,Terminated,Full-time,46296.0,smithchris@jackson.com,389-782-1350,2018-01-31
153,William James,Male,1995-07-25,2009-03-18,Operations,Finance Analyst,8,Chennai,Resigned,Unknown,44576.0,bruce78@jefferson-williams.com,506-560-3257,2010-01-16
154,Nicholas Waters,Male,1994-08-24,1998-12-04,Human Resource,Sales Executive,40,Chennai,Abscond,Unknown,92810.2,smithmisty@christensen.net,820-070-7158,2016-01-17
155,Robert Blankenship,Male,1987-11-19,2018-03-02,Operations,Operations Lead,8,Bangalore,Abscond,Unknown,97067.7,josephwashington@hotmail.com,415-330-8299,2024-01-25
156,Shawna Gallagher,Male,1972-01-31,2007-05-11,Operations,Finance Analyst,26,Remote,Resigned,Full-time,89314.33,weaverrachel@yahoo.com,535-261-1022,2023-01-03
157,Cheyenne Joyce,Male,1992-09-14,2012-11-10,Sales,Software Engineer,45,Hyderabad,Abscond,Full-time,92154.0,fbartlett@hotmail.com,285-586-3379,2013-01-28
158,Kayla Mcclain,Female,1971-02-01,1988-11-17,Operations,Unknown,12,Remote,Terminated,Full-time,80820.75,gsaunders@gmail.com,711-293-5399,2021-01-03
159,Sheri Taylor,Unknown,1995-05-25,2001-09-03,Operations,Software Engineer,25,Bangalore,Resigned,Contract,89153.0,cheyenne45@gmail.com,639-730-0028,2017-01-06
160,Cindy Barnes,Male,2001-08-23,2013-03-21,Human Resource,Sales Executive,25,Chennai,Active,Unknown,92810.2,michellelamb@yahoo.com,880-027-7035,
161,Amy Maldonado,Male,1964-07-15,1983-11-02,Finance,Software Engineer,28,Hyderabad,Terminated,Unknown,72015.4,pcherry@lopez.com,315-962-2910,2025-01-02
162,Courtney Jackson,Unknown,1972-10-21,2011-11-05,Engineering,Sales Executive,21,Bangalore,Active,Intern,89530.07,ericnash@cook-gonzalez.com,699-127-7864,
